MPID	Title	BrandorManufacturer	MPN	UPC	ISBN	MerchantSKU	ProductURL	Price	StockStatus	Description	ImageURL	Shipping	MerchantCategory	BingCategory	ShippingWeight	Condition	PricewithDiscount	DealStartDateTime	DealExpirationDateTime	Tax	bingads_grouping	bingads_label	bingads_publish	bingads_redirect	DealURL	Shipping
1010	Slip Resistant - Shoes For Crews - Aristocrat II - Black / Men's Dress Shoes	Shoes For Crews	1010			1010	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1010&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1010	69.98	In Stock	"This polished oxford promotes your look and your comfort level. Move through your workday with confidence. The smooth, full-grain leather sets an executive tone while the patented SFC Mighty Grip® outsole helps keep you safe. The water-resistant Aristocrat II features a removable cushioned insole and a steel shank."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	zzzzz	Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New				88	shoes					
1010W	Skid Resistant - Shoes For Crews - Aristocrat II - Black / Men's Dress Shoes	Shoes For Crews	1010W			1010W	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1010&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1010W	69.98	In Stock	"This polished oxford promotes your look and your comfort level. Move through your workday with confidence. The smooth, full-grain leather sets an executive tone while the patented SFC Mighty Grip® outsole helps keep you safe. The water-resistant Aristocrat II features a removable cushioned insole and a steel shank."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	:::8 USD	Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					
1022	Slip Proof - Shoes For Crews - Dylan - Black / Men's Dress Shoes	Shoes For Crews	1022			1022	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1022&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1022	79.98	In Stock	"A fashion-forward dress shoe that's truly comfortable and slip resistant. This handsome, lightweight shoe features a water-resistant, Nappa leather upper with dual elastic inserts for a comfortable, secure fit. The padded tongue and collar and removable cushioned insole provide all-day comfort. Our patented SFC Mighty Grip® outsole helps keep you on your feet."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	"US:1025433:Express:17.80 USD,US:1014212::25.99 USD"	Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					
1110	Non Slip - Shoes For Crews - Aristocrat II - Men's / Brown Dress Shoes	Shoes For Crews	1110			1110	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1110&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1110	69.98	In Stock	"This polished oxford promotes your look and your comfort level. Move through your workday with confidence. The smooth, full-grain leather sets an executive tone while the patented SFC Mighty Grip® outsole helps keep you safe. The water-resistant Aristocrat II features a removable cushioned insole and a steel shank."	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	"US:manhattan and surrounding::22.59 USD,US:close to warehouse:Ground:7.78 USD"	Men's Slip-Resistant Footwear > Dress Shoes	Clothing & Shoes		New					shoes					
1111	No Slip - Shoes For Crews - Men's ComfortMax II Athletic & Work Boot Insoles Shoe Acce	Shoes For Crews	1111			1111	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1111&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1111	9.98	In Stock	Designed to add extra heel support and breathability. Compatible with athletic and work boot styles.  Insoles may not be compatible with all shoe types.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	0	Shoe Accessories	Clothing & Shoes		New					shoes					
1112	Non Slip - Shoes For Crews - Women's ComfortMax II Athletic & Work Boot Insoles Shoe A	Shoes For Crews	1112			1112	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1112&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1112	9.98	In Stock	Designed to add extra heel support and breathability. Compatible with athletic and work boot styles.  Insoles may not be compatible with all shoe types.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1113	Slip Resistant - Shoes For Crews - Men's ComfortMax II Casual & Dress Insoles Shoe Acc	Shoes For Crews	1113			1113	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1113&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1113	9.98	In Stock	Designed to add extra heel support and breathability. Compatible with casual and dress styles.  Insoles may not be compatible with all shoe types.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1114	Slip Proof - Shoes For Crews - Women's ComfortMax II Casual & Dress Insoles Shoe Acces	Shoes For Crews	1114			1114	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1114&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1114	9.98	In Stock	Designed to add extra heel support and breathability. Compatible with casual and dress styles.  Insoles may not be compatible with all shoe types.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1115	Anti Slip - Shoes For Crews - Men's EnduraMax Dress & Casual Insoles Shoe Accessories	Shoes For Crews	1115			1115	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1115&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1115	9.98	In Stock	Upgrade your comfort with our deep cushioned insoles for casual and dress styles.  Insoles may not be compatible with all shoe types.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg		Shoe Accessories	Clothing & Shoes		New					shoes					
1116	Anti Slip - Shoes For Crews - Women's EnduraMax Dress & Casual Insoles Shoe Accessorie	Shoes For Crews	1116			1116	http://siliconcupcake.tech/sfc3/index.cfm?changeWebsite=US_en&route=c_store.viewDetailsOfProduct&partnumber=1116&leads=cse_bing&utm_source=Bing&utm_medium=ShoppingComparisonEngine&utm_campaign=DataFeed&gdftrk=gdfV21820_a_7c366_a_7c1896_a_7c1116	9.98	In Stock	Upgrade your comfort with our deep cushioned insoles for casual and dress styles.  Insoles may not be compatible with all shoe types.	http://bmctestmerchant.azurewebsites.net/Feeds/Images/productimage.jpg	8	Shoe Accessories	Clothing & Shoes		New					shoes					
